RPM,RPMS Power (RL=1),RPMS Power (RL=2),RPMS Power (RL=10),RPMS Power (RL=15),RPMS Power (RL=22),RPMS Power (RL=33),RPMS Power (RL=47),RPMS Power (RL=68)
7.089089089089088702e+01,2.910173176864873090e-01,3.274122787117152988e-01,1.819070109588659945e-01,1.359587109436334873e-01,1.000494387522744416e-01,7.056555428200241009e-02,5.127678624292129894e-02,3.635197709481617634e-02
7.168168168168168108e+01,2.975453212707064310e-01,3.347570901233900553e-01,1.859879744555712477e-01,1.390088668659592019e-01,1.022939951149225424e-01,7.214865691999026998e-02,5.242715561938623287e-02,3.716751594668461084e-02
7.247247247247247515e+01,3.041457041014063445e-01,3.421833553496685387e-01,1.901142073225495499e-01,1.420928581436947391e-01,1.045634505208826032e-01,7.374932111648387079e-02,5.359028621282465460e-02,3.799210170002485787e-02
7.326326326326326921e+01,3.108184649544323830e-01,3.496910736156721988e-01,1.942857095119535638e-01,1.452106847590208250e-01,1.068578049635753591e-01,7.536754686930131897e-02,5.476617802242744748e-02,3.882573435455583671e-02
7.405405405405406327e+01,3.175636025922162209e-01,3.572802441380278915e-01,1.985024809754110664e-01,1.483623466939230084e-01,1.091770584363494501e-01,7.700333417623674015e-02,5.595483104737701552e-02,3.966841390999348987e-02
7.484484484484484312e+01,3.243811157637774834e-01,3.649508661248667130e-01,2.027645216640247827e-01,1.515478439301910230e-01,1.115212109324812267e-01,7.865668303506033465e-02,5.715624528684654093e-02,4.052014036605067204e-02
7.563563563563563719e+01,3.312710032047228026e-01,3.727029387758254986e-01,2.070718315283727462e-01,1.547671764494191471e-01,1.138902624451749862e-01,8.032759344351828035e-02,5.837042074000051844e-02,4.138091372243709459e-02
7.642642642642643125e+01,3.382332636372490375e-01,3.805364612820460457e-01,2.114244105185080214e-01,1.580203442330064267e-01,1.162842129675629721e-01,8.201606539933309348e-02,5.959735740599454712e-02,4.225073397885942966e-02
7.721721721721722531e+01,3.452678957701402207e-01,3.884514328261760574e-01,2.158222585839586483e-01,1.613073472621563142e-01,1.187030624927048750e-01,8.372209890020305967e-02,6.083705528397530954e-02,4.312960113502131015e-02
7.800800800800801937e+01,3.523748982987705003e-01,3.964478525823678656e-01,2.202653756737277813e-01,1.646281855178763354e-01,1.211468110135883042e-01,8.544569394380249761e-02,6.208951437308050242e-02,4.401751519062314238e-02
7.879879879879879923e+01,3.595542699051052504e-01,4.045257197162811513e-01,2.247537617362938001e-01,1.679828589809792272e-01,1.236154585231290237e-01,8.718685052778203659e-02,6.335473467243925294e-02,4.491447614536239058e-02
7.958958958958959329e+01,3.668060092577002940e-01,4.126850333850814456e-01,2.292874167196099766e-01,1.713713676320817725e-01,1.261090050141702168e-01,8.894556864976826960e-02,6.463271618117148731e-02,4.582048399893338259e-02
8.038038038038038735e+01,3.741301150117024577e-01,4.209257927374390751e-01,2.338663405711048360e-01,1.747937114516051049e-01,1.286274504794830131e-01,9.072184830736364225e-02,6.592345889838835404e-02,4.673553875102730293e-02
8.117117117117118141e+01,3.815265858088516815e-01,4.292479969135340467e-01,2.384905332376822396e-01,1.782498904197756251e-01,1.311707949117665861e-01,9.251568949814710507e-02,6.722696282319239047e-02,4.765964040133242180e-02
8.196196196196196126e+01,3.889954202774796865e-01,4.376516450450499973e-01,2.431599946657203581e-01,1.817399045166234184e-01,1.337390383036474728e-01,9.432709221967323920e-02,6.854322795467682194e-02,4.859278894953372729e-02
