RPM,Electrical Power
2.488188188188188406e+02,4.030297590237188921e+00
2.496096096096096346e+02,4.055934101000854497e+00
2.504004004004004287e+02,4.081651677762245356e+00
2.511911911911911943e+02,4.107450317844327792e+00
2.519819819819819884e+02,4.133330018561664154e+00
2.527727727727727824e+02,4.159290777220425284e+00
2.535635635635635765e+02,4.185332591118399392e+00
2.543543543543543706e+02,4.211455457544972525e+00
2.551451451451451646e+02,4.237659373781141880e+00
2.559359359359359587e+02,4.263944337099519366e+00
2.567267267267267243e+02,4.290310344764316497e+00
2.575175175175175468e+02,4.316757394031367490e+00
2.583083083083083125e+02,4.343285482148115051e+00
2.590990990990991349e+02,4.369894606353611266e+00
2.598898898898899006e+02,4.396584763878524704e+00
2.606806806806806662e+02,4.423355951945132425e+00
2.614714714714714887e+02,4.450208167767340406e+00
2.622622622622623112e+02,4.477141408550647128e+00
2.630530530530530768e+02,4.504155671492187096e+00
2.638438438438438425e+02,4.531250953780700641e+00
2.646346346346346650e+02,4.558427252596554347e+00
2.654254254254254306e+02,4.585684565111726840e+00
2.662162162162162531e+02,4.613022888489818563e+00
2.670070070070070187e+02,4.640442219886043773e+00
2.677977977977978412e+02,4.667942556447245650e+00
2.685885885885886069e+02,4.695523895311885632e+00
2.693793793793793725e+02,4.723186233610046081e+00
2.701701701701701950e+02,4.750929568463434727e+00
2.709609609609609606e+02,4.778753896985376670e+00
2.717517517517517831e+02,4.806659216280827707e+00
2.725425425425425487e+02,4.834645523446362780e+00
2.733333333333333712e+02,4.862712815570192859e+00
2.741241241241241369e+02,4.890861089732146283e+00
2.749149149149149594e+02,4.919090343003679422e+00
2.757057057057057250e+02,4.947400572447883782e+00
2.764964964964964906e+02,4.975791775119462912e+00
2.772872872872873131e+02,5.004263948064774148e+00
2.780780780780780788e+02,5.032817088321785093e+00
2.788688688688689012e+02,5.061451192920104702e+00
2.796596596596596669e+02,5.090166258880967298e+00
2.804504504504504894e+02,5.118962283217252107e+00
